2024-08-21 18:04:43,256 INFO    MainThread:11520 [wandb_setup.py:_flush():76] Current SDK version is 0.17.7
2024-08-21 18:04:43,257 INFO    MainThread:11520 [wandb_setup.py:_flush():76] Configure stats pid to 11520
2024-08-21 18:04:43,257 INFO    MainThread:11520 [wandb_setup.py:_flush():76] Loading settings from /Users/f81658c/.config/wandb/settings
2024-08-21 18:04:43,257 INFO    MainThread:11520 [wandb_setup.py:_flush():76] Loading settings from /Users/f81658c/Documents/Git repo/ML-DevOps-Engineer/nd0821-c2-build-model-workflow-exercises/lesson-1-machine-learning-pipelines/exercises/exercise_1/starter/wandb/settings
2024-08-21 18:04:43,257 INFO    MainThread:11520 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-08-21 18:04:43,257 INFO    MainThread:11520 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-08-21 18:04:43,257 INFO    MainThread:11520 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'lesson-1-machine-learning-pipelines/exercises/exercise_1/starter/upload_artifact.py', 'program_abspath': '/Users/f81658c/Documents/Git repo/ML-DevOps-Engineer/nd0821-c2-build-model-workflow-exercises/lesson-1-machine-learning-pipelines/exercises/exercise_1/starter/upload_artifact.py', 'program': 'upload_artifact.py'}
2024-08-21 18:04:43,257 INFO    MainThread:11520 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-08-21 18:04:43,257 INFO    MainThread:11520 [wandb_init.py:_log_setup():524] Logging user logs to /Users/f81658c/Documents/Git repo/ML-DevOps-Engineer/nd0821-c2-build-model-workflow-exercises/lesson-1-machine-learning-pipelines/exercises/exercise_1/starter/wandb/run-20240821_180443-606cm6f0/logs/debug.log
2024-08-21 18:04:43,257 INFO    MainThread:11520 [wandb_init.py:_log_setup():525] Logging internal logs to /Users/f81658c/Documents/Git repo/ML-DevOps-Engineer/nd0821-c2-build-model-workflow-exercises/lesson-1-machine-learning-pipelines/exercises/exercise_1/starter/wandb/run-20240821_180443-606cm6f0/logs/debug-internal.log
2024-08-21 18:04:43,257 INFO    MainThread:11520 [wandb_init.py:init():607] calling init triggers
2024-08-21 18:04:43,257 INFO    MainThread:11520 [wandb_init.py:init():614] wandb.init called with sweep_config: {}
config: {}
2024-08-21 18:04:43,257 INFO    MainThread:11520 [wandb_init.py:init():657] starting backend
2024-08-21 18:04:43,257 INFO    MainThread:11520 [wandb_init.py:init():661] setting up manager
2024-08-21 18:04:43,261 INFO    MainThread:11520 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-08-21 18:04:43,263 INFO    MainThread:11520 [wandb_init.py:init():669] backend started and connected
2024-08-21 18:04:43,266 INFO    MainThread:11520 [wandb_init.py:init():764] updated telemetry
2024-08-21 18:04:43,300 INFO    MainThread:11520 [wandb_init.py:init():797] communicating run to backend with 90.0 second timeout
2024-08-21 18:04:43,847 INFO    MainThread:11520 [wandb_run.py:_on_init():2479] communicating current version
2024-08-21 18:04:43,913 INFO    MainThread:11520 [wandb_run.py:_on_init():2488] got version response 
2024-08-21 18:04:43,913 INFO    MainThread:11520 [wandb_init.py:init():848] starting run threads in backend
2024-08-21 18:04:45,712 INFO    MainThread:11520 [wandb_run.py:_console_start():2457] atexit reg
2024-08-21 18:04:45,712 INFO    MainThread:11520 [wandb_run.py:_redirect():2303] redirect: wrap_raw
2024-08-21 18:04:45,712 INFO    MainThread:11520 [wandb_run.py:_redirect():2368] Wrapping output streams.
2024-08-21 18:04:45,712 INFO    MainThread:11520 [wandb_run.py:_redirect():2393] Redirects installed.
2024-08-21 18:04:45,714 INFO    MainThread:11520 [wandb_init.py:init():891] run started, returning control to user process
2024-08-21 18:04:45,894 INFO    MainThread:11520 [wandb_run.py:_finish():2154] finishing run dace-/exercise_1/606cm6f0
2024-08-21 18:04:45,895 INFO    MainThread:11520 [wandb_run.py:_atexit_cleanup():2418] got exitcode: 0
2024-08-21 18:04:45,895 INFO    MainThread:11520 [wandb_run.py:_restore():2400] restore
2024-08-21 18:04:45,895 INFO    MainThread:11520 [wandb_run.py:_restore():2406] restore done
2024-08-21 18:04:53,871 INFO    MainThread:11520 [wandb_run.py:_footer_history_summary_info():4076] rendering history
2024-08-21 18:04:53,871 INFO    MainThread:11520 [wandb_run.py:_footer_history_summary_info():4108] rendering summary
2024-08-21 18:04:53,882 INFO    MainThread:11520 [wandb_run.py:_footer_sync_info():4035] logging synced files
