2024-08-21 18:19:54,708 INFO    MainThread:11757 [wandb_setup.py:_flush():76] Current SDK version is 0.17.7
2024-08-21 18:19:54,709 INFO    MainThread:11757 [wandb_setup.py:_flush():76] Configure stats pid to 11757
2024-08-21 18:19:54,709 INFO    MainThread:11757 [wandb_setup.py:_flush():76] Loading settings from /Users/f81658c/.config/wandb/settings
2024-08-21 18:19:54,709 INFO    MainThread:11757 [wandb_setup.py:_flush():76] Loading settings from /Users/f81658c/Documents/Git repo/ML-DevOps-Engineer/nd0821-c2-build-model-workflow-exercises/lesson-1-machine-learning-pipelines/exercises/exercise_1/starter/wandb/settings
2024-08-21 18:19:54,709 INFO    MainThread:11757 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-08-21 18:19:54,709 INFO    MainThread:11757 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-08-21 18:19:54,709 INFO    MainThread:11757 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'lesson-1-machine-learning-pipelines/exercises/exercise_1/starter/use_artifact.py', 'program_abspath': '/Users/f81658c/Documents/Git repo/ML-DevOps-Engineer/nd0821-c2-build-model-workflow-exercises/lesson-1-machine-learning-pipelines/exercises/exercise_1/starter/use_artifact.py', 'program': 'use_artifact.py'}
2024-08-21 18:19:54,709 INFO    MainThread:11757 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-08-21 18:19:54,709 INFO    MainThread:11757 [wandb_init.py:_log_setup():524] Logging user logs to /Users/f81658c/Documents/Git repo/ML-DevOps-Engineer/nd0821-c2-build-model-workflow-exercises/lesson-1-machine-learning-pipelines/exercises/exercise_1/starter/wandb/run-20240821_181954-1o29r8g1/logs/debug.log
2024-08-21 18:19:54,709 INFO    MainThread:11757 [wandb_init.py:_log_setup():525] Logging internal logs to /Users/f81658c/Documents/Git repo/ML-DevOps-Engineer/nd0821-c2-build-model-workflow-exercises/lesson-1-machine-learning-pipelines/exercises/exercise_1/starter/wandb/run-20240821_181954-1o29r8g1/logs/debug-internal.log
2024-08-21 18:19:54,709 INFO    MainThread:11757 [wandb_init.py:init():607] calling init triggers
2024-08-21 18:19:54,709 INFO    MainThread:11757 [wandb_init.py:init():614] wandb.init called with sweep_config: {}
config: {}
2024-08-21 18:19:54,709 INFO    MainThread:11757 [wandb_init.py:init():657] starting backend
2024-08-21 18:19:54,709 INFO    MainThread:11757 [wandb_init.py:init():661] setting up manager
2024-08-21 18:19:54,712 INFO    MainThread:11757 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-08-21 18:19:54,715 INFO    MainThread:11757 [wandb_init.py:init():669] backend started and connected
2024-08-21 18:19:54,718 INFO    MainThread:11757 [wandb_init.py:init():764] updated telemetry
2024-08-21 18:19:54,742 INFO    MainThread:11757 [wandb_init.py:init():797] communicating run to backend with 90.0 second timeout
2024-08-21 18:19:55,134 INFO    MainThread:11757 [wandb_run.py:_on_init():2479] communicating current version
2024-08-21 18:19:55,183 INFO    MainThread:11757 [wandb_run.py:_on_init():2488] got version response 
2024-08-21 18:19:55,184 INFO    MainThread:11757 [wandb_init.py:init():848] starting run threads in backend
2024-08-21 18:19:57,060 INFO    MainThread:11757 [wandb_run.py:_console_start():2457] atexit reg
2024-08-21 18:19:57,061 INFO    MainThread:11757 [wandb_run.py:_redirect():2303] redirect: wrap_raw
2024-08-21 18:19:57,061 INFO    MainThread:11757 [wandb_run.py:_redirect():2368] Wrapping output streams.
2024-08-21 18:19:57,061 INFO    MainThread:11757 [wandb_run.py:_redirect():2393] Redirects installed.
2024-08-21 18:19:57,062 INFO    MainThread:11757 [wandb_init.py:init():891] run started, returning control to user process
2024-08-21 18:20:09,329 WARNING MsgRouterThr:11757 [router.py:message_loop():77] message_loop has been closed
